"ID de categoría";"Activo";"Agregar fecha";"Actualización de fecha";"Posición";"Es categoría raíz";"Nombre de la categoría";"Descripción";"URL amigable";"Meta Título";"Meta Palabras clave";"Meta Descripción";"Imagen de la categoría";"Categoría grupos"
"224";"0";"18-03-2016 21:27:52";"20-03-2016 23:44:37";"5";"0";"Root|Inicio|CELULARES|Pantallas de Celulares";"";"pantallas-de-celulares";"Pantallas de Celulares";"Pantallas, Celulares, celular, smartphone";"Pantallas de Celulares";"224.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"225";"1";"23-05-2016 13:16:39";"14-07-2017 16:14:45";"7";"0";"Root|Inicio|COMPUTACIÓN|Baterias de Notebook|Baterías MSI";"Bateria, laptop, notebook, MSI";"baterias-msi";"Bateria, laptop, notebook, MSI";"Bateria, laptop, notebook, MSI, baterias, notebook";"Bateria, laptop, notebook, MSI";"225.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"226";"1";"04-07-2016 17:51:27";"04-07-2016 17:51:27";"4";"0";"Root|Inicio|OTROS|Radios";"";"radios";"radios";"radios";"radios";"226.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"227";"1";"28-07-2016 18:05:08";"26-09-2016 9:13:07";"3";"0";"Root|Inicio|OTROS|GPS TRACKER";"";"gps-tracker";"GPS Tracker";"GPS, Tracker";"GPS Tracker";"227.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"228";"0";"17-09-2016 23:36:17";"17-09-2016 23:36:17";"5";"0";"Root|Inicio|OTROS|Reloj Control";"";"reloj-control";"Reloj Control";"Reloj, Control";"Reloj Control";"228.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"229";"1";"09-11-2016 12:42:53";"09-11-2016 12:42:53";"6";"0";"Root|Inicio|COMPUTACIÓN|Lamparas de Proyector";"<p>Lamparas de Proyector</p>";"lamparas-de-proyector";"Lamparas de Proyector";"Lamparas, Proyector";"Lamparas de Proyector";"229.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"230";"1";"12-12-2016 19:37:25";"12-12-2016 19:37:25";"6";"0";"Root|Inicio|OTROS|Audifonos de Madera";"";"audifonos-de-madera";"Audifonos de Madera";"Audifonos, Madera";"Audifonos de Madera";"230.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"231";"1";"14-12-2016 12:08:41";"14-12-2016 12:08:41";"11";"0";"Root|Inicio|COMPUTACIÓN|Cargadores de Notebook|Cargador Panasonic";"";"cargador-panasonic";"Cargador Panasonic";"Cargador, Panasonic";"Cargador Panasonic";"231.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"232";"1";"14-12-2016 12:54:22";"14-07-2017 16:15:02";"9";"0";"Root|Inicio|COMPUTACIÓN|Baterias de Notebook|Baterías Panasonic";"";"baterias-panasonic";"Baterias Panasonic";"Baterias, Panasonic, bateria, notebook";"Baterias Panasonic";"232.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"233";"1";"16-12-2016 19:47:57";"20-12-2017 19:24:04";"7";"0";"Root|Inicio|COMPUTACIÓN|Cargadores de Notebook|Cargador MSI";"";"cargador-msi";"Cargador MSI";"Cargador, MSI";"Cargador MSI";"233.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"235";"1";"19-08-2017 9:23:16";"19-08-2017 9:23:16";"2";"0";"Root|Inicio|ENTRETENCION|Consolas";"";"consolas";"Consolas, ps3, ps4, xbox, gamer, youtuber";"Consolas, ps3, ps4, xbox, gamer, youtuber";"Consolas, ps3, ps4, xbox, gamer, youtuber";"235.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"236";"1";"10-04-2018 13:18:06";"10-04-2018 13:18:06";"1";"0";"Root|Inicio|COMPUTACIÓN|Repuestos Servidores|Discos Duros Servidores";"";"discos-duros-servidores";"Discos Duros Servidores";"Discos, Duros, Servidores";"Discos Duros Servidores";"236.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"237";"1";"19-04-2018 8:15:48";"19-04-2018 8:15:48";"5";"0";"Root|Inicio|CAMARAS|Camaras de seguridad";"";"camaras-de-seguridad";"Camaras de seguridad";"Camaras, seguridad, audio, hd, sricam, ip, wifi.";"Camaras de seguridad";"237.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
